(('100220388', 'jewish anecdotes from prague', 'eng'), 1)
(('106968086', 'elemente der altbohmischen grammatik', 'ger'), 7)
(('106968086', 'uber den ursprung und die heimath des glagolitismus', 'ger'), 4)
(('106968086', '', 'und'), 4)
(('106968086', 'literatura jazyk spolocnost', 'slo'), 3)
(('106968086', 'zivot sv konstantina receneho cyrilla', 'slo'), 3)
(('106968086', 'beitrage zum studium von bibliothekseinrichtungen aus dem handschriftlichen nachlass von pj safarik', 'ger'), 3)
(('106968086', 'listy pavla jozefa safarika martinovi hamaljukovi', 'slo'), 3)
(('106968086', 'tatranska muza s lyrou slovanskou', 'slo'), 3)
(('106968086', 'uber die abkunft der slawen', 'ger'), 3)
(('106968086', 'okazky obcanskeho pisemnictvi', 'slo'), 2)
(('106968086', 'basnicke spisy', 'slo'), 2)
(('106968086', 'nemeckocesky slovnik vedeckeho nazvoslovi pro gymnasia a realne skoly etc edited by pj safarik and others', 'eng'), 2)
(('106968086', 'zivot sv symeona od krale stepana', 'srp'), 2)
(('106968086', 'slavianskoe narodopisanie sostavlennoe', 'rus'), 2)
(('106968086', 'namen und lage der stadt wineta auch jumin julin jomsburg', 'ger'), 2)
(('106968086', 'kurze uebersicht der altesten kirchenslawischen literatur', 'ger'), 2)
(('106968086', 'pocatkove ceskeho basnictvi obvzlaste prozodie uvodnu studiu napisal mikulas bakos text pripravil rudolf havel vysvetlivkami a registrom doplnil miroslav kacer', 'und'), 2)
(('106968086', 'serbische lesekorner serbischen mundart', 'ger'), 2)
(('106968086', 'pocatkowe staroceske mluwnice uwod k wyboru staroceske literatury od pj safarika etc', 'eng'), 2)
(('106968086', 'die altesten denkmaler der bochmischen sprache', 'ger'), 1)
(('106968086', 'listy pavla jozefa safarika martinovi hamuljakovi', 'slo'), 1)
(('106968086', 'listy pavla jozefa safarika martinovi hamuljakovi na vydanie pripravil augustin matovcik with a digest of hamuljaks letters to safarik portraits and facsimiles', 'slo'), 1)
(('106968086', 'listy pavla jozefa safarika martinovi hamuljakovi', 'und'), 1)
(('106968086', 'listy pavla jozefa safarika martinovi hamuljakovi na vydanie pripravil augustin matovcik with a digest of hamuljaks letters to safarik portraits and facsimiles', 'eng'), 1)
(('106968086', 'listy pavla jozefa safarika martinovi hamulkakovi', 'und'), 1)
(('106968086', 'odkaz pj safarika by various authors with german or russian summaries', 'eng'), 1)
(('106968086', 'basnicke spisy vydal jan vilikovsky', 'und'), 1)
(('106968086', 'pamatky hlaholskeho pisemnictvi', 'chu'), 1)
(('106968086', 'pocatkove ceskeho basnictvi obzvlaste prozodie', 'slo'), 1)
(('106968086', 'drevniho pisemnictvi jihoslovanuv', 'chu'), 1)
(('106968086', 'pamatky drevniho pisemnictvi jihoslovanuv', 'rus'), 1)
(('106968086', 'uber den ursprung und die heimath des glagolitismus mit einer schrifttafel', 'ger'), 1)
(('106968086', 'uber den urspruung und die heimath des glagolitismus  mit einer schrifttafel', 'eng'), 1)
(('106968086', 'uber den urspruung und die heimath des glagolitismus  mit einer schrifttafel', 'ger'), 1)
(('106968086', 'prispevky ke studiu bibliothecnich soustav a zarizeni  podava dr cenek zibrt zvlastni otisk z casopisu sberatel iii roc cislo 56 a lithographed reproduction of pj safariks ms nomina urbium typographiis insignium with a bibliographical introduction by c zibrt', 'eng'), 1)
(('106968086', 'pj schafariks slawische alterthumer deutsch von mosig von aehrenfeld herausgegeben von h wuttke', 'eng'), 1)
(('106968086', 'pavel jozef safarik autori andrej mraz and others etc', 'und'), 1)
(('106968086', 'pj schafariks slawische alterthumer deutsch von mosig von aehrenfeld herausgegeben von h wuttke', 'ger'), 1)
(('106968086', 'tsvietoobranie na staroslavenskutu knizhninu v bulagariiiu', 'bul'), 1)
(('106968086', 'geschichte der illirischen  kroatischen literatur', 'ger'), 1)
(('106968086', 'ueber altslawische namentlich kyrillische druckereien in den sudslawischen und den benachbarten landern serbien bosnien herzegowina montenegro venedig in der walachei und in siebenburgen', 'ger'), 1)
(('106968086', 'beitrage zum studium von bibliothekseinrichtungen aus dem handschriftlichen nachlass', 'ger'), 1)
(('106968086', 'pamatky drevniho pisemnictvi jihoslovanuv dil predchozi sebral a vydal pj s vydani druhe doplnky pozustalosti safarikovy rozmnozene upravil j jirecek', 'eng'), 1)
(('106968086', 'ukazky z dila pj safarika', 'eng'), 1)
(('106968086', 'ob imeni i polozhenii goroda vinety inache kmina', 'rus'), 1)
(('106968086', 'raztsviet slavianskoi pismennosti v bulgarii', 'rus'), 1)
(('106968086', 'letters of pj safarik to m hamuljak 18251858  undated letters from safarik to hamuljak  letters to an unknown correspondent  letters from safarik to j kollar', 'eng'), 1)
(('106968086', 'catalogus librorum incunabulorum codicum manuscriptorum chartarum geographicarum quae olim ad bibliothecam pauli josephi safarik pertinebant', 'und'), 1)
(('106968086', 'geschichte der illirischen und kroatischen literatur', 'ger'), 1)
(('106968086', 'slawische alterthumer', 'ger'), 1)
(('106968086', 'basnicke dielo', 'slo'), 1)
(('106968086', 'list p j szafarzyka do j hammera', 'pol'), 1)
(('106968086', 'pavel jozef safarik autori andrej mraz and others etc', 'eng'), 1)
(('106968086', 'obrazovanie slov udvoeniem kornia', 'rus'), 1)
(('106968086', 'pisne swetske lidu slowenskeho w vhrich sebrane a wydane od pj ssaffarika j blahoslawa a ginych', 'und'), 1)
(('106968086', 'catalogus librorum incunabulorum codicum manuscriptorum chartarum geographicarum quae olim ad bibliothecam pauli josephi safarik pertinebant', 'eng'), 1)
(('106968086', 'uber die abkunft der slawen nach l surowiecki', 'ger'), 1)
(('106968086', 'basne pj safarika a f palackeho s uvodem o basnicke cinnosti jejich vydal dr f backovsky', 'eng'), 1)
(('106968086', 'die altesten denkmaler der bohmischen sprache libusas gericht evangelium johannis der leitmeritzer stiftungsbrief glossen der mater verborum kritisch beleuchtet von pj safarik  und f palacky  mit facsimiles', 'ger'), 1)
(('106968086', 'literatura jazyk spolocnost vyber zostavil uvod a bibliograficke poznamky napisal k rosenbaum vysvetlivky spracoval j ambrus z ceskych a nemeckych originalov prelozili j niznansky v betakova a r betak', 'und'), 1)
(('106968086', 'pjesne swetske lidu slowenskeho w uhrjch', 'slo'), 1)
(('106968086', 'uber die abkunft der slawen nach lorenz surowiecki', 'ger'), 1)
(('106968086', 'ein brief paul josef safariks an lukijan musicki', 'ger'), 1)
(('106968086', 'uber die abkunft der slawen nach lorenz surowiecki', 'und'), 1)
(('106968086', 'pj safarika sebrane spisy k vydani upravil j jirecek', 'eng'), 1)
(('106968086', 'literatura jazyk spolocnost vyber zostavil uvod a bibliograficke poznamky napisal k rosenbaum vysvetlivky spracoval j ambrus z ceskych a nemeckych originalov prelozili j niznansky v betakova a r betak', 'eng'), 1)
(('106968086', 'pisne swetske lidu slowenskeho w vhrich sebrane a wydane od pj ssaffarika j blahoslawa a ginych', 'eng'), 1)
(('106968086', 'ueber die abkunft der slawen nach l surowiecki', 'ger'), 1)
(('106968086', 'uebersicht vorzuglichsten schriflichen denkmaler alterer zeiten bey den serben und anderen sudflawen', 'ger'), 1)
(('106968086', 'zur slawischen sprachkunde', 'ger'), 1)
(('106968086', 'slowenisches und glagolitisches schriftthum', 'rus'), 1)
(('106968086', 'slawische alterthumer von paul joseph schafarik deutsch von mosig von aehrenfeld herausgegeben von heinrich wuttke', 'ger'), 1)
(('10739336', 'fur ein leben zu viel', 'ger'), 1)
(('10739336', 'das jubilaum', 'ger'), 1)
(('10739336', 'die ruckkehr', 'ger'), 1)
(('10739336', 'der helle weg in die dunkelheit', 'ger'), 1)
(('10739336', 'leo', 'ger'), 1)
(('107473716', 'struny harfistky', 'cze'), 1)
(('10757363', 'bunt w maszynie do pisania', 'pol'), 2)
(('10757363', 'das verlorene band', 'ger'), 2)
(('10757363', 'marchen von neuen dingen', 'ger'), 2)
(('10757363', 'lachelndes guatemala', 'ger'), 2)
(('10757363', 'hoe de bas bij de radio kwam', 'dut'), 2)
(('10757363', 'mosolygo guatemala utirajzok utiterkepek', 'spa'), 2)
(('10757363', 'kartoteka zivih', 'slv'), 1)
(('10757363', 'palac ne zdet', 'rus'), 1)
(('10757363', 'ulybaiuschaiasia gvatemala', 'rus'), 1)
(('10757363', 'tri male zeny', 'und'), 1)
(('10757363', 'prag spricht dich an', 'ger'), 1)
(('10757363', 'das verloren band ztracena stuha dt  aus d tschech ubertr v gunter muller 1 aufl', 'ger'), 1)
(('10757363', 'der fall major hogan', 'ger'), 1)
(('10757363', 'pustte basu do rozhlasu a jine pohadky ilustroval jindrich hegr', 'eng'), 1)
(('10757363', 'norberts frids dzivibas kartoteka krabice zivych lett', 'und'), 1)
(('10757363', 'mosolygo guatemala', 'hun'), 1)
(('10757363', 'lachelndes guatemala usmevava guatemala aus dem tschechischen zeichn im text c a burland', 'ger'), 1)
(('107600220', 'curious tales', 'eng'), 8)
(('107600220', 'el juego de zuzanka', 'spa'), 4)
(('107600220', 'eine tafel blau wie der himmel', 'ger'), 3)
(('107600220', 'hamster im nachthemd', 'ger'), 3)
(('107600220', 'die marchenbraut', 'ger'), 2)
(('107600220', 'der fliegende ferdinand', 'ger'), 2)
(('107600220', 'die schlecht gemalte henne und andere geschichten', 'ger'), 2)
(('107600220', 'vom blauen topf der gern tomatensosse kochte', 'ger'), 2)
(('107600220', 'max sally va chiec dien thoai than ki', 'vie'), 2)
(('107600220', 'barbka in lizike', 'slv'), 1)
(('107600220', 'phieu luu ngoai gio hoc', 'vie'), 1)
(('107600220', 'nhung chuyen o truong hoc', 'vie'), 1)
(('107600220', 'o begemote kotoryi boiapsia privivok', 'rus'), 1)
(('107600220', 'pravljice', 'slv'), 1)
(('107600220', 'kanikuly bonifatsiia', 'rus'), 1)
(('107600220', 'prazdniny leva bonifaca', 'slo'), 1)
(('107600220', 'zoologie', 'fre'), 1)
(('107600220', 'clovek by neveril svym ocim', 'eng'), 1)
(('107600220', 'unglaubliche geschichten', 'ger'), 1)
(('107600220', 'jakub es a ketszaz nagypapa', 'hun'), 1)
(('107600220', 'die wolke im zirkus', 'ger'), 1)
(('107600220', 'sylva danickova erzahlt unglaubliche geschichten', 'ger'), 1)
(('107600220', 'die marchenbraut und der zauberrabe', 'ger'), 1)
(('107600220', 'die schlecht gemahlte henne und andere geschichten', 'ger'), 1)
(('107600220', 'die wolke im zirkus und andere geschichten', 'ger'), 1)
(('108102183', 'rumburk im benzinrausch', 'ger'), 1)
(('10883385', 'plamen a pisen', 'und'), 1)
(('109312616', 'open letters', 'eng'), 22)
(('109312616', 'the power of the powerless', 'eng'), 11)
(('109312616', 'am anfang war das wort', 'ger'), 9)
(('109312616', 'moral in zeiten der globalisierung', 'ger'), 8)
(('109312616', 'lamour et la verite doivent triompher de la haine et du mensonge', 'fre'), 6)
(('109312616', 'il est permis desperer', 'fre'), 6)
(('109312616', 'toward a civil society', 'eng'), 6)
(('109312616', 'quelques mots sur la parole', 'fre'), 5)
(('109312616', 'angst vor der freiheit', 'ger'), 5)
(('109312616', 'sea breve por favor', 'spa'), 5)
(('109312616', 'bohumil hrabal', 'fre'), 5)
(('109312616', 'selected plays', 'eng'), 4)
(('109312616', 'la responsabilidad como destino', 'spa'), 4)
(('109312616', 'spiskowcy i inne utwory dramatyczne', 'pol'), 3)
(('109312616', 'eseje polityczne', 'pol'), 3)
(('109312616', 'politics and conscience', 'eng'), 3)
(('109312616', 'selected plays 196383', 'eng'), 3)
(('109312616', 'acceptance speech written on the occasion of the award of the erasmus prize 1986', 'eng'), 3)
(('109312616', 'funfzehn stimmungen', 'ger'), 2)
(('109312616', 'kerti unnepely', 'hun'), 2)
(('109312616', 'spiskowcy', 'pol'), 2)
(('109312616', 'pour une politique postmoderne', 'fre'), 2)
(('109312616', 'paraules sobre la paraula', 'cat'), 2)
(('109312616', 'the power of the powerless routledge revivals', 'eng'), 2)
(('109312616', 'the power of the powerless', 'und'), 2)
(('109312616', '', 'eng'), 2)
(('109312616', 'l amour et la verite doivent triompher de la haine et du mensonge', 'fre'), 2)
(('109312616', 'interrogation a distance', 'fre'), 2)
(('109312616', 'lopera dello straccione e altri testi', 'ita'), 2)
(('109312616', 'difficolta di concentrazione', 'ita'), 2)
(('109312616', 'discursos politicos', 'spa'), 2)
(('109312616', 'prezident v bratislave', 'slo'), 2)
(('109312616', 'czech plays', 'eng'), 1)
(('109312616', 'a szabadsag igezete', 'hun'), 1)
(('109312616', 'et forbeholds anatomi', 'dan'), 1)
(('109312616', 'en arche en o logos', 'gre'), 1)
(('109312616', 'tentation', 'fre'), 1)
(('109312616', 'uzaktan sorusturma', 'tur'), 1)
(('109312616', 'thriller', 'pol'), 1)
(('109312616', 'kuszenie', 'pol'), 1)
(('109312616', 'thriller i inne eseje', 'pol'), 1)
(('109312616', 'the mountain chalet', 'eng'), 1)
(('109312616', 'forsok pa a leve i sannhet', 'nor'), 1)
(('109312616', 'trudno sosredotocitsa', 'rus'), 1)
(('109312616', 'zmieniac swiat', 'pol'), 1)
(('109312616', 'obywatel kultury', 'pol'), 1)
(('109312616', 'motomorfozy', 'rus'), 1)
(('109312616', 'do ruznych stran', 'pol'), 1)
(('109312616', 'sanering', 'dan'), 1)
(('109312616', 'europe', 'eng'), 1)
(('109312616', 'hry 19701976', 'und'), 1)
(('109312616', 'hry', 'und'), 1)
(('109312616', 'birodo kakumei no kokoro', 'jpn'), 1)
(('109312616', 'la responsabilidad como destino', 'und'), 1)
(('109312616', 'teils', 'ger'), 1)
(('109312616', 'quelques mots sur la parole precede de sortir du communisme cest rentrer dans lhistoire', 'und'), 1)
(('109312616', 'open letters  selected writings 19651990', 'und'), 1)
(('109312616', 'lamour et la verite ddoivent trimpher de la haine et du mensonge', 'eng'), 1)
(('109312616', 'garden party and other plays', 'eng'), 1)
(('109312616', 'viata in adevar', 'rum'), 1)
(('109312616', 'selected plays 19841987  translated by tom stoppard and others', 'eng'), 1)
(('109312616', 'forsok pa a leve i sannhet', 'nob'), 1)
(('109312616', 'audientie luisterspel', 'dut'), 1)
(('109312616', 'seytan celmesi', 'tur'), 1)
(('109312616', 'human rights  search for global responsibility', 'eng'), 1)
(('109312616', 'opera calicilor', 'rum'), 1)
(('109312616', 'letica i la politica', 'cat'), 1)
(('109312616', 'dissenso culturale e politico in cecoslovacchia', 'ita'), 1)
(('109312616', 'la inauguracion', 'und'), 1)
(('109312616', 'poetsoek of de verstoorde koncentratie', 'dut'), 1)
(('109312616', 'living in truth', 'eng'), 1)
(('109312616', 'open letters', 'und'), 1)
(('109312616', 'trudno sosredotocitsja', 'und'), 1)
(('109312616', 'trudno sosredotocitsja', 'rus'), 1)
(('109312616', 'dissenso culturale e politico in cecoslovacchia per una decifrazione teatrale del codice del potere', 'ita'), 1)
(('109312616', 'teatru', 'rum'), 1)
(('109312616', 'la vie sociale et culturelle en tchecoslovaquie normalisee', 'fre'), 1)
(('109312616', 'civil society', 'eng'), 1)
(('109312616', 'on the threshold of a new era', 'pol'), 1)
(('109312616', 'view from prague', 'eng'), 1)
(('109312616', 'scrisori catre olga', 'rum'), 1)
(('109312616', 'acceptance speech written on the occasion of the award of the erasmusprize 1986', 'eng'), 1)
(('109312616', 'sommertanker', 'nob'), 1)
(('109312616', 'ispita', 'rum'), 1)
(('109312616', 'teatru', 'und'), 1)
(('109312616', 'art of the impossible politics as morality in practice speeches and writings 19901996', 'eng'), 1)
(('109312616', 'acceptance speech written on the occassion of the award of the erasmus prize 1986', 'eng'), 1)
(('109312616', 'gli ostaggi sono fuggiti', 'ita'), 1)
(('109312616', 'ludienza', 'ita'), 1)
(('109312616', 'the power of the powerless  citizens against the state in centraleastern europe', 'eng'), 1)
(('109312616', 'familienabend', 'ger'), 1)
(('109312616', 'haolam nivra bemaamar', 'heb'), 1)
(('109312616', 'disturbing for peace', 'eng'), 1)
(('109312616', 'ganske kort', 'dan'), 1)
(('109312616', 'josef capek dramatik a jevistni vytvarnik bibliografii sestavil miroslav halik soupis inscenaci zpracovala ludmila kopacova with plates including a selfportrait', 'eng'), 1)
(('109312616', 'chikara naki monotachi no chikara', 'jpn'), 1)
(('109312616', 'o lidskou identitu', 'und'), 1)
(('109312616', 'audienz', 'ger'), 1)
(('109312616', 'apo te phylake sten proedria', 'gre'), 1)
(('109312616', 'ha wei er xuan ji', 'chi'), 1)
(('109312616', 'von tieren und menschen', 'ger'), 1)
(('109391577', 'macht raum europa magisches prag', 'ger'), 1)
(('109645153', 'czarny lew', 'pol'), 2)
(('109645153', 'esperanza', 'spa'), 2)
(('109645153', 'horka vune mandli', 'pol'), 2)
(('109645153', 'citronen', 'swe'), 1)
(('109645153', 'waiting for the train', 'eng'), 1)
(('109645153', 'deine grunen augen', 'ger'), 1)
(('109645153', 'milacek', 'sla'), 1)
(('109645153', 'spisy arnosta lustiga', 'ger'), 1)
(('109645153', 'en bonn for katarina', 'nor'), 1)
(('109645153', 'odpovede', 'slo'), 1)
(('109645153', 'ruga pentru katerina horovitzova', 'und'), 1)
(('109645153', '3 x 18', 'slo'), 1)
(('109645153', 'en bonn for katarina', 'nob'), 1)
(('109645153', 'hvem elsker perla s', 'nob'), 1)
(('109645153', 'ruga pentru katerina horovitzova', 'rum'), 1)
(('1103909', 'nature and culture', 'eng'), 1)
(('1103909', 'mimicry aposematism and related phenomena in animals and plants', 'eng'), 1)
(('1103909', 'mimicry aposematism and related phenomena', 'eng'), 1)
(('1104757', 'cesta revoluce', 'eng'), 2)
(('1104757', 'vesnice treti vydani with illustrations', 'eng'), 1)
(('111346007', 'geschichte', 'ger'), 6)
(('111346007', 'jan hus', 'ger'), 4)
(('111346007', 'histoire', 'fre'), 3)
(('111346007', 'la historia', 'spa'), 2)
(('111346007', 'der konig im kittel', 'ger'), 2)
(('111346007', 'geschichte fur die jugend', 'ger'), 1)
(('111346007', 'john huss', 'eng'), 1)
(('111346007', 'histoire pour les jeunes', 'fre'), 1)
(('111346007', 'tchecoslovaquie', 'fre'), 1)
(('111346007', 'hollars journey on the rhine', 'eng'), 1)
(('111346007', 'historia', 'por'), 1)
(('111346007', 'histoire de tchecoslovaquie', 'fre'), 1)
(('111346007', 'la storia per lo studente', 'ita'), 1)
(('111346007', 'geschiedenis', 'dut'), 1)
(('111346007', 'istorija', 'hrv'), 1)
(('111346007', 'la storia', 'ita'), 1)
(('111346007', 'historia', 'spa'), 1)
(('111346007', 'istoria', 'rum'), 1)
(('111346007', 'wenzel hollar', 'ger'), 1)
(('111346007', 'geschiedenis van tsjechoslowakije', 'dut'), 1)
(('111346007', 'ian hus', 'rus'), 1)
(('111346007', 'entdecker und eroberer', 'ger'), 1)
(('111346007', 'cehoslovacka', 'hrv'), 1)
(('111346007', 'felfedezok es hoditok', 'hun'), 1)
(('111346007', 'wenzel hollar reisebilder', 'ger'), 1)
(('111346007', 'der einsame marschall', 'ger'), 1)
(('111346007', 'die fackel', 'ger'), 1)
(('111346007', 'a faklya', 'hun'), 1)
(('11196637', 'maly bobes', 'slo'), 3)
(('11196637', 'die geschichte vom kleinen bobesch', 'ger'), 2)
(('11196637', 'kislegeny a nagyvarosban', 'hun'), 1)
(('11196637', 'bobesch zieht in die stadt', 'ger'), 1)
(('11227014', 'beispiele male hry dtaus d tschechv vera cerna illustr jan schmid 12 tsd', 'und'), 1)
(('11227014', 'knochen kosti dt geschichten', 'und'), 1)
(('11227014', 'beispiele', 'ger'), 1)
(('11227014', 'nejsem si jist', 'und'), 1)
(('112327728', 'love as a fourletter word', 'eng'), 1)
(('112327728', 'theater des lebens', 'ger'), 1)
(('112327728', 'celibataire marie divorce veuf', 'fre'), 1)
(('113341183', 'der private wirbelsturm', 'ger'), 2)
(('114231397', 'a small tall tale from the far far north', 'eng'), 1)
(('114231397', 'madlenka', 'eng'), 1)
(('114438737', 'prezita smrt', 'ger'), 2)
(('114438737', 'andula hat gewonnen', 'ger'), 1)
(('114438737', 'der ermordete', 'ger'), 1)
(('114438737', 'gut situirte herr', 'ger'), 1)
(('114438737', 'das kalte licht', 'ger'), 1)
(('114438737', 'stesk', 'ger'), 1)
(('114438737', 'konigreich an drahten', 'ger'), 1)
(('114438737', 'carantina', 'rum'), 1)
(('114438737', 'wo war ich heute nacht', 'ger'), 1)
(('114445008', 'huhn am spiess', 'ger'), 2)
(('114445008', 'halsa angeln', 'swe'), 1)
(('114445008', 'svaty na moste', 'slo'), 1)
(('114463286', 'jiri wolker basnik a clovek druhe vydani with a portrait and a manuscript facsimile', 'eng'), 1)
(('114463286', 'tvar plna svetla', 'slo'), 1)
(('114463286', 'raimund chalupnik dosud ne roman ctvrte vydani', 'eng'), 1)
(('114463286', 'jak vznika literarni dilo o vlastni tvorbe treti vydani', 'eng'), 1)
(('114463286', 'lide kolem nas prozy druhe rozsirene vydani', 'eng'), 1)
(('114463286', 'putovani na dluh  feuilletony z toulek a cest druhe vydani opravene a doplnene with illustrations', 'eng'), 1)
(('114463286', 'burkental', 'und'), 1)
(('114463286', 'muj nepritel osud roman 4 vydani', 'eng'), 1)
(('114463286', 'petr bezruc basnik a dilo druhe vydani with a portrait and a manuscript facsimile', 'eng'), 1)
(('114467667', '3 ie drei satirische musicals aus den dreissiger jahren', 'ger'), 1)
(('114467667', 'drei satirische musicals aus den dreissiger jahren von jiri voskovec und jan werich', 'ger'), 1)
(('114467667', 'befreites theater', 'ger'), 1)
(('114467667', 'the liberated theatre', 'eng'), 1)
(('114467667', 'le theatre libere', 'fre'), 1)
(('114467667', '3 satirische musicals jahren', 'ger'), 1)
(('114678790', 'estiu a praga', 'cat'), 2)
(('114678790', 'samozerbuch', 'und'), 1)
(('114678790', 'honzlova', 'eng'), 1)
(('114678790', 'pas de trois', 'swe'), 1)
(('114678790', 'hnuj zeme', 'eng'), 1)
(('115219363', 'touching and imagining', 'eng'), 7)
(('115219363', 'lunacy', 'eng'), 3)
(('115219363', 'ningyogeki mushi hakubutsushi', 'jpn'), 2)
(('115219363', 'little otik', 'eng'), 2)
(('115219363', 'jan svankmajer', 'fre'), 1)
(('115219363', 'touching and imagining an introduction to tactile art', 'eng'), 1)
(('115219363', 'sosakujutsu', 'jpn'), 1)
(('115219363', 'touching and imagining electronic resource', 'eng'), 1)
(('115219363', 'yan ando eba shubankumaieru ten', 'jpn'), 1)
(('115219363', 'svankmajer in wales', 'eng'), 1)
(('115219363', 'het ludicatief principe', 'dut'), 1)
(('115219363', 'touching the imagining an introduction to tactile art', 'eng'), 1)
(('115219363', 'jan svankmajer videorecording', 'eng'), 1)
(('115219363', 'jan svankmajer', 'spa'), 1)
(('115219363', 'svankmajer x 4', 'und'), 1)
(('115824377', 'chyba broskvi', 'und'), 2)
(('115824377', 'guten morgen herr mozart', 'ger'), 1)
(('115824377', 'fur alle die im herzen barfuss sind', 'ger'), 1)
(('115824377', 'bola mnie litery', 'pol'), 1)
(('115824377', 'nachthengel', 'dut'), 1)
(('115824377', 'kleine weile', 'ger'), 1)
(('115824377', 'godzina miedzy psem a wilkiem', 'pol'), 1)
(('115824377', 'opeens zien we de hemel van boven', 'dut'), 1)
(('115824377', 'na danoto na pesenta', 'bul'), 1)
(('115824377', 'mijn zomer word jij ook al grijs', 'dut'), 1)
(('115824377', 'basne', 'ger'), 1)
(('115824377', 'odlevani do ztraceneho vosku', 'ita'), 1)
(('115824377', 'metlicky', 'eng'), 1)
(('115824377', 'hodina mezi psem a vlkem', 'und'), 1)
(('115824377', 'hodina mezi psem a vlkem', 'eng'), 1)
(('115824377', 'ako siel brusik na vandry', 'slo'), 1)
(('115824377', 'der blaue vogel', 'ger'), 1)
(('115824377', '20 gedichten', 'dut'), 1)
(('115824377', 'il difetto delle pesche', 'ita'), 1)
(('115858496', 'the mystifications of a nation', 'eng'), 3)
(('116018299', 'hinter prager fenstern', 'ger'), 3)
(('116018299', 'ruzove saty ve vojenske torne', 'eng'), 1)
